# Podcast Script: 宣传的逻辑

Speaker 1: 等於說這種硬宣傳,他可能沒能洗腦,沒能讓你愛上他,但他成功的起到了一種威懾或者說歸訓的作用,讓你覺得胳膊擰不過大腿。

Speaker 2: 對,可以這麼理解。

Speaker 2: 他塑造了一種對國家能力的感知,從而影響了個體的行為選擇。

Speaker 1: 所以你看,框架效應和信號理論,他們從不同角度解釋了宣傳如何發揮作用。

Speaker 1: 一個是通過巧妙引導認知角度,另一個是通過展示實力來影響行為預期,兩者可能同時存在,針對不同目標和情境。

Speaker 2: 明白了。

Speaker 2: 一個軟,一個硬,但都挺有力量的。

Speaker 1: 這就引出了我們前面提到的那個心理層面的問題了。

Speaker 1: 尤其是剛才說的信號理論,那種硬宣傳,按常理推斷,如果帶有強制性,會不會引起逆反心理,就是你越讓我看,我越反感。

Speaker 2: 對,這個直覺非常普遍。

Speaker 2: 心理學上也有個理論叫心理抗拒理論, Reactance Theory。

Speaker 2: 就是說,當人們感覺自由受到威脅時會產生一種負面情緒,並試圖反抗。

Speaker 2: 所以按這個理論,強迫人們接觸宣傳信息,效果應該是負面的。

Speaker 1: 是的,但是好像有研究得出了不太一樣的結論。

Speaker 2: 沒錯。

Speaker 2: 這就是另一下研究特別有意思的地方,他們做了一個實驗,設計的挺巧妙的。

Speaker 2: 他們讓一部分參與者自願閱讀一些政府的宣傳材料,

Speaker 2: 另一部分參與者呢則是被某種方式要求或者說不得不閱讀這些材料,不是完全自願的。

Speaker 1: 嗯,分成了自願組和非自願組。

Speaker 2: 對。

Speaker 2: 然後測量他們閱讀前後對政府的態度變化,結果可以說是相當驚人。

Speaker 1: 快說說,結果怎麼了?

Speaker 2: 結果發現,那些被迫閱讀宣傳信息的非自願組,他們傾聽政府態度的提升幅度,竟然顯著的高於那些自願閱讀的人。

Speaker 1: 等等,你再說一遍,被迫的效果反而更好。

Speaker 2: 對,實驗數據就是這麼顯示的。

Speaker 1: 這確實非常反直覺。

Speaker 1: 這怎麼解釋呢?完全說不通啊。

Speaker 1: 難道人都是喜歡被強迫?

Speaker 2: 哈哈,應該不是。

Speaker 2: 研究者認為,認知失調理論, cognitive dissonance theory,提供了一個比較有說服力的解釋。

Speaker 1: 認知失調。

Speaker 1: 就是那個說當我們的行為和信念不一致時,會感到不舒服,然後會想辦法減少這種不適感的理論。

Speaker 2: 正是這個理論。

Speaker 2: 你想,對於那些非自願的參與者來說,他們被迫做了一件自己可能不太情願的事情,閱讀宣傳材料,這就產生了一種認知上的不協調,不舒服。

Speaker 1: 我的行為閱讀了,和我可能的內在想法,不情願讀,不一定認同之間有矛盾。

Speaker 2: 嗯,感覺有點彆扭。

Speaker 2: 為了緩解這種彆扭感,人們會下意識的調整自己的想法或態度,來為自己的行為辯護,讓行為顯得更合理。

Speaker 2: 就好比,我既然已經花了時間經歷讀了這個東西,那他可能還是有點道理,有點重要的吧,不然我不是白費勁了嗎?

Speaker 1: 啊,是為了讓自己的行為看起來不那麼傻或者不那麼被迫,所以就自己說服自己覺得這個東西還行。

Speaker 2: 非常接近這個意思。

Speaker 2: 研究者在實驗中還測量了其他一些指標,發現非自願組的參與者在閱讀之後,更傾向於評價說,他們覺得討論的那個議題更容易理解了。

Speaker 2: 這可以看作是一種為自己付出的努力進行的辯護。

Speaker 1: 我讀懂了,所以我的閱讀是有價值的。

Speaker 2: 嗯,合理化自己的投入。

Speaker 2: 同時,他們也更傾向於認為這個議題更重要。

Speaker 2: 這可能是一種更深層次的合理化。

Speaker 1: 我被迫關注的事情一定有其重要性的。

Speaker 1: 通過提高對議題重要性的認知來進一步減少被迫感帶來的不是。

Speaker 2: 哇,這個解釋很微妙,但聽起來確實符合心理邏輯。

Speaker 2: 也就是說強制性接觸本身,可能就啟動了個體內在的心理防禦機制,導致了一種自我說服的效果。

Speaker 1: 很有可能是這樣。

Speaker 1: 這基是了權力運作的一種可能方式。

Speaker 1: 有時候他不需要真重的說服你,甚至不需要你真心喜歡他,只需要創造一個讓你不得不接觸其信息,參與其活動的環境,就可能利用你自身的心理機制來達到某種程度上的態度轉變和行為順從。

Speaker 2: 這真是 有點讓人不寒而栗。

Speaker 2: 他繞過了理性的辯論,直接作用於心理底層了。

Speaker 1: 是的,這個發現確實提示我們評估宣傳效果不能只看表面上的接受或反感,還要考慮這種更深層的心理動態。

Speaker 1: 好的,我們談了結構上的去中心化,

Speaker 1: 談了作用機制上的框架和信號,還談了接受心理上可能存在的認知實調效應。

Speaker 1: 那麼,在這種新的結構和機制下,宣傳的內容本身是不是也在發生變化了呢?研究有沒有關注到這一點?

Speaker 2: 有的。

Speaker 2: 內容策略也是研究關注的一個重點。

Speaker 2: 特別是結合我們前面提到的抖音這類平台上的去中心化宣傳,研究發現內容上出現了一些新的趨勢。

Speaker 1: 哦,是什麼趨勢?還是以意識形態說教為主嗎?

Speaker 2: 傳統的那種意識形態宣傳,當然也還存在。

Speaker 2: 但是研究,比如我們之前提到的路等人的研究就特別指出,在抖音這樣的平台上,一種叫做道德社會的敘事變得越來越突出,甚至可以說是核心內容之一。

Speaker 1: 道德社會敘事。

Speaker 1: 這個詞挺新鮮的。

Speaker 1: 具體是指什麼樣的內容呢?

Speaker 2: 的行為。

Speaker 2: 比如說消防員衝進火場救人,醫生救死扶傷,警察抓捕壞人,普通人之間互相幫助,建議為為等等。

Speaker 1: 啊,就是我們常說的

Speaker 1: 正能量內容。

Speaker 1: 好人好事。

Speaker 2: 對,好人好事是一方面,另一方面他也包括對不道德行為的譴責和懲罰。

Speaker 2: 比如曝光一些不文明現象,懲治違法犯罪行為等等,通過這種對比來強化什麼是好的,什麼是壞的。

Speaker 1: 明白了,就是通過大量具體的生活化的故事,來展現一個好人有好報,壞人受懲罰的社會圖景。

Speaker 2: 是的,這種敘事的特點在於,它非常貼近日常生活,很容易引起人們的情感共鳴。

Speaker 2: 你看消防員救火的視頻,很容易被感動,對吧?

Speaker 2: 看警察抓小偷會覺得大快人心。

Speaker 1: 嗯,確實,這種故事性情感性很強。

Speaker 1: 而且這種敘事方式,它潛移默化的傳遞了一個信息,就是你看我們這個社會總體上是好的,是有道德秩序的,而政府機構,比如消防、公安,是這個良好秩序的維護者和保障者。

Speaker 1: 他把政權的合法性和維護社會基本道德秩序聯繫在了一起。

Speaker 2: 啊,通過塑造一個有道德有秩序的社會形象,來間接提升對體制的認同感。

Speaker 1: 可以這麼理解。

Speaker 1: 而且你想像,這種內容是不是特別適合我們前面說的去中心化生產模式。

Speaker 2: 哎,對哦,各地的公安局消防隊,他們本身就是這些故事的天然來人,他們日常工作就是處理這些事情。

Speaker 1: 完全正確,他們不需要去編造宏大敘事,只需要把日常工作中遇到的符合這種道德社會框架的案例,用短視頻的形式記錄下來傳播出去就可以了。

Speaker 1: 這又回到了那個低門檻多節點,內容豐富的特點上。

Speaker 2: 明白了,所以道德社會敘事,既符合了新平台的傳播特性,短視頻故事化,情感化,也契合了去中心化的生產結構,同時還能達到一種比較軟性的塑造社會認同感的宣傳效果。

Speaker 2: 這確實是一個值得注意的內容策略轉變。

Speaker 1: 是的。

Speaker 1: 它可能表致著宣傳策略從過去比較側重宏大意識形態構建,轉向了更加關注日常倫理和社會秩序的維護,當然,這不代表前者消失了,而是後者變得越來越重要。

Speaker 1: 好了,我們把這些研究的主要發現都串起來,

Speaker 1: 看一看。

Speaker 1: 從宏觀的結構演變,去中心化網絡,到微觀的作用機制,框架效應,信號理論,再到受眾的心理反應,認知失調,以及內容策略的調整,道德社會敘事。

Speaker 1: 綜合起來,這些研究給我們描繪了一個怎樣的新圖景呢?

Speaker 2: 嗯,

Speaker 2: 綜合來看,我覺得他們描繪的是一個高度整合,動態適應,並且可以說是相當聰明的宣傳生態系統。

Speaker 2: 它不再是過去那種單一僵化的模式了。

Speaker 1: 聰明在什麼地方?

Speaker 2: 聰明在於它的多層次和整合性。

Speaker 2: 你看,它利用網絡化的結構,讓無數個節點,
政府機構、關聯賬號去生產和傳播多樣化的內容。

Speaker 2: 這些內容既有像信號理論裡說的那種硬邦邦的,
展示國家能力的硬宣傳。

Speaker 2: 也有像框架效應那樣比較巧妙的引導你看問題角度的軟干預。

Speaker 2: 更有像道德社會敘事這種非常貼近生活,
打動情感的溫情故事。

Speaker 1: 嗯,內容形式非常多樣。

Speaker 2: 對,然後他利用不同的機制去影響人。

Speaker 2: 框架效應作用於你的認知,

Speaker 2: 信號理論作用於你對權力的感知和行為預期,

Speaker 2: 而強制接觸的環境甚至可能利用你自己的認知失調心理,
讓你在不知不覺中完成自我說服。

Speaker 1: 這是一個組合權。

Speaker 2: 是的。

Speaker 2: 所以這個體系的最終目標也許並不緊是或者說主要不是要培養出一心一意,
對所有政策都高度滿意,真心信仰某種意識形態的公民。

Speaker 2: 那可能太難了,在現在這個信息環境下也不太現實。

Speaker 1: 那它的目標更可能是什麼呢?

Speaker 2: 也許更現實的目標是塑造一個這樣的社會狀態。

Speaker 2: 在一些關鍵的政策議題上,公眾能夠因為框架引導而比較順從。

Speaker 2: 在宏觀的政治層面,大家能感知到國家的強大和秩序維持能力,
從而不敢輕易挑戰,信號的作用。

Speaker 2: 同時在個人心理和情感層面,通過那些報導社會的故事,
讓人們感覺這個體制還是在做好事,維護基本秩序的,
從而建立某種情感上的連接,哪怕這種連接不一定是基於深刻的政治認同。

Speaker 1: 也就是說,目標可能更偏向於維持穩定,確保順從,
並建立一種基礎的情感連接,而不是追求高度一致的狂熱信仰。

Speaker 2: 我覺得這些研究至少是指向了這個可能性。

Speaker 2: 它是一個更務實,也可能更具韌性的策略。

Speaker 2: 它不是要控制你的每一個想法,而是要在關鍵點上引導你,
在底線上威懾你,在情感上拉近你。

Speaker 1: 嗯,

Speaker 1: 這確確實實是一個更複雜,也更值得我們深入思考的圖景。

Speaker 1: 那麼聊到最後,我們通常會留一個問題給聽眾思考。

Speaker 1: 基於今天討論的這些研究,

Speaker 1: 我想把這個問題拋給你。

Speaker 1: 這個看起來相當高效,並且能夠靈活適應數字時代傳播環境的宣傳體系。

Speaker 1: 它未來會面臨怎樣的挑戰?

Speaker 1: 比如說,隨著信息環境的進一步變化,或者公眾的媒介素養,
就是實必信息批判性的思考的能力,如果真的不斷提升,這個體系的有效性會受到影響嗎?

Speaker 2: 嗯,這絕對是個核心問題。

Speaker 2: 另外,

Speaker 2: 當一些不可預見的重大危機事件發生時,

Speaker 2: 這種高度依賴框架引導、信號傳遞和情感連接的系統,

Speaker 2: 它的韌性如何?

Speaker 2: 他還能像平時一樣有效運作嗎?
還是說危機會暴露出他的一些脆弱之處?

Speaker 1: 對,這些都是非常關鍵的追問。

Speaker 1: 這個體系的適應能力看起來很強,

Speaker 1: 但他的極限在哪裡?

Speaker 1: 他的潛在風險又是什麼?

Speaker 1: 這確實值得我們持續觀察和思考。

Speaker 1: 好,

Speaker 1: 這些問題就留給大家,也留給我們自己,
在未來的觀察中尋找答案吧。

Speaker 1: 謝謝收聽,下期節目再見。

Speaker 2: 再見.
